"Country or Area","Year","Value","Value Footnotes","Unit"
"Andorra","2015","0","","tonnes"
"Andorra","2014","0","","tonnes"
"Andorra","2013","0","","tonnes"
"Antigua and Barbuda","2015","16.6000003814697","1","tonnes"
"Antigua and Barbuda","2014","13.6000003814697","1","tonnes"
"Antigua and Barbuda","2013","7.15999984741211","1","tonnes"
"Antigua and Barbuda","2012","7.94000005722046","1","tonnes"
"Antigua and Barbuda","2011","157.220001220703","1","tonnes"
"Antigua and Barbuda","2010","23.0599994659424","1","tonnes"
"Antigua and Barbuda","2009","52.9599990844727","1","tonnes"
"Antigua and Barbuda","2008","100.860000610352","1","tonnes"
"Antigua and Barbuda","2007","51.7599983215332","1","tonnes"
"Antigua and Barbuda","2006","86.2600021362305","1","tonnes"
"Antigua and Barbuda","2005","60.2000007629395","1","tonnes"
"Armenia","2015","551018","","tonnes"
"Armenia","2014","571750.375","","tonnes"
"Armenia","2013","574973.8125","","tonnes"
"Armenia","2012","460844.6875","","tonnes"
"Armenia","2011","457729.8125","2","tonnes"
"Armenia","2010","432811.78125","","tonnes"
"Armenia","2009","438227.5625","","tonnes"
"Armenia","2008","433537.53125","","tonnes"
"Armenia","2007","362275","","tonnes"
"Armenia","2006","352279","","tonnes"
"Armenia","2005","346325","","tonnes"
"Armenia","2004","351400","","tonnes"
"Armenia","2003","344095","","tonnes"
"Armenia","2002","377900","","tonnes"
"Armenia","2001","375500","","tonnes"
"Armenia","2000","381578","","tonnes"
"Armenia","1999","241596","","tonnes"
"Armenia","1998","286607","","tonnes"
"Austria","2014","60260","","tonnes"
"Austria","2012","59046","","tonnes"
"Austria","2010","47959","","tonnes"
"Austria","2008","45033","","tonnes"
"Austria","2006","0","","tonnes"
"Austria","2004","43465","","tonnes"
"Azerbaijan","2015","166965.09375","","tonnes"
"Azerbaijan","2014","414633.59375","","tonnes"
"Azerbaijan","2013","65401.1015625","","tonnes"
"Azerbaijan","2012","84996.203125","","tonnes"
"Azerbaijan","2011","97530.296875","","tonnes"
"Azerbaijan","2010","87314.6015625","","tonnes"
"Azerbaijan","2009","144517.796875","","tonnes"
"Azerbaijan","2008","55840","","tonnes"
"Azerbaijan","2007","1510","","tonnes"
"Azerbaijan","2006","1406220","","tonnes"
"Azerbaijan","2005","622","","tonnes"
"Azerbaijan","2004","100360","","tonnes"
"Azerbaijan","2003","386","","tonnes"
"Azerbaijan","2002","1607","","tonnes"
"Azerbaijan","2001","4532","","tonnes"
"Azerbaijan","2000","15348","","tonnes"
"Azerbaijan","1995","7606","","tonnes"
"Bahrain","2007","7432","","tonnes"
"Bahrain","2006","11164","","tonnes"
"Bahrain","2005","10626","","tonnes"
"Bahrain","2004","5430","","tonnes"
"Bahrain","2003","5661","","tonnes"
"Bahrain","2002","4466","","tonnes"
"Bahrain","2001","31942","3","tonnes"
"Bangladesh","2012","27498.69921875","4","tonnes"
"Bangladesh","2007","18924","4","tonnes"
"Belarus","2015","99282.84375","5","tonnes"
"Belarus","2014","153561.84375","5","tonnes"
"Belarus","2013","124725.71875","5","tonnes"
"Belarus","2012","123682.890625","5","tonnes"
"Belarus","2011","83656.796875","5","tonnes"
"Belarus","2010","136600","5","tonnes"
"Belarus","2009","99987.109375","5","tonnes"
"Belarus","2008","61295.609375","5","tonnes"
"Belarus","2007","34284.859375","5","tonnes"
"Belarus","2006","16826.669921875","5","tonnes"
"Belarus","2005","19161.48046875","5","tonnes"
"Belarus","2004","72.6999969482422","5","tonnes"
"Belarus","2003","63477","","tonnes"
"Belarus","2002","54358","","tonnes"
"Belarus","2001","51001","","tonnes"
"Belgium","2014","589660","","tonnes"
"Belgium","2012","869960","","tonnes"
"Belgium","2010","981568","","tonnes"
"Belgium","2008","443605","","tonnes"
"Belgium","2006","283073","","tonnes"
"Belgium","2004","1306543","","tonnes"
"Benin","2002","0","","tonnes"
"Benin","2001","0","","tonnes"
"Benin","2000","0","","tonnes"
"Benin","1999","0","","tonnes"
"Benin","1998","0","","tonnes"
"Benin","1997","0","","tonnes"
"Benin","1996","0","","tonnes"
"Benin","1995","0","","tonnes"
"Benin","1990","0","","tonnes"
"Bermuda","2015","261.5","6","tonnes"
"Bermuda","2014","234","","tonnes"
"Bermuda","2013","179","","tonnes"
"Bermuda","2012","209","","tonnes"
"Bermuda","2011","242","","tonnes"
"Bermuda","2010","215","","tonnes"
"Bulgaria","2014","12017033","","tonnes"
"Bulgaria","2012","13322743","","tonnes"
"Bulgaria","2010","13501203","","tonnes"
"Bulgaria","2008","12846297","","tonnes"
"Bulgaria","2006","13302797","","tonnes"
"Bulgaria","2004","11981941","","tonnes"
"Cameroon","2009","7133","","tonnes"
"Cameroon","2008","8663","","tonnes"
"Cameroon","2007","7492","","tonnes"
"Cameroon","2006","9675","","tonnes"
"Cameroon","2005","9046","","tonnes"
"Cameroon","2004","5307","","tonnes"
"China, Hong Kong Special Administrative Region","2015","3094","","tonnes"
"China, Hong Kong Special Administrative Region","2014","4521","","tonnes"
"China, Hong Kong Special Administrative Region","2013","4118","","tonnes"
"China, Hong Kong Special Administrative Region","2012","4170","","tonnes"
"China, Hong Kong Special Administrative Region","2011","5805","","tonnes"
"China, Hong Kong Special Administrative Region","2010","8150","","tonnes"
"China, Hong Kong Special Administrative Region","2009","7361","","tonnes"
"China, Hong Kong Special Administrative Region","2008","6789","","tonnes"
"China, Hong Kong Special Administrative Region","2007","5840","","tonnes"
"China, Hong Kong Special Administrative Region","2006","6935","","tonnes"
"China, Hong Kong Special Administrative Region","2005","5475","","tonnes"
"China, Hong Kong Special Administrative Region","2004","6954","","tonnes"
"China, Hong Kong Special Administrative Region","2003","11315","","tonnes"
"China, Hong Kong Special Administrative Region","2002","8760","","tonnes"
"China, Hong Kong Special Administrative Region","2001","10950","","tonnes"
"China, Hong Kong Special Administrative Region","2000","25620","","tonnes"
"China, Hong Kong Special Administrative Region","1999","6205","","tonnes"
"China, Hong Kong Special Administrative Region","1998","10220","","tonnes"
"China, Hong Kong Special Administrative Region","1997","6935","","tonnes"
"China, Hong Kong Special Administrative Region","1996","9266","","tonnes"
"China, Hong Kong Special Administrative Region","1995","6646","","tonnes"
"China, Macao Special Administrative Region","2015","23195","7","tonnes"
"China, Macao Special Administrative Region","2014","19671","7","tonnes"
"China, Macao Special Administrative Region","2013","16816","7","tonnes"
"China, Macao Special Administrative Region","2012","17269","7","tonnes"
"China, Macao Special Administrative Region","2011","17116","7","tonnes"
"China, Macao Special Administrative Region","2010","11915","7","tonnes"
"China, Macao Special Administrative Region","2009","11256","7","tonnes"
"China, Macao Special Administrative Region","2008","8376","7","tonnes"
"China, Macao Special Administrative Region","2007","5970","7","tonnes"
"China, Macao Special Administrative Region","2006","6115","7","tonnes"
"China, Macao Special Administrative Region","2005","5562","7","tonnes"
"China, Macao Special Administrative Region","2004","5519","7","tonnes"
"China, Macao Special Administrative Region","2003","5616","7","tonnes"
"China, Macao Special Administrative Region","2002","4986","7","tonnes"
"China, Macao Special Administrative Region","2001","4230","7","tonnes"
"China, Macao Special Administrative Region","2000","3963","7","tonnes"
"China, Macao Special Administrative Region","1999","3698","7","tonnes"
"China, Macao Special Administrative Region","1998","3647","7","tonnes"
"China, Macao Special Administrative Region","1997","4004","7","tonnes"
"Croatia","2014","10035","","tonnes"
"Croatia","2012","10319","","tonnes"
"Croatia","2010","8793","","tonnes"
"Croatia","2008","3246","","tonnes"
"Croatia","2006","562856","","tonnes"
"Croatia","2004","14078","","tonnes"
"Cuba","2015","137887","","tonnes"
"Cuba","2014","116000","","tonnes"
"Cuba","2013","170000","","tonnes"
"Cuba","2012","118909","","tonnes"
"Cuba","2011","7300","","tonnes"
"Cuba","2010","12421","","tonnes"
"Cyprus","2014","141259","","tonnes"
"Cyprus","2012","5576","","tonnes"
"Cyprus","2010","14814","","tonnes"
"Cyprus","2008","13154","","tonnes"
"Cyprus","2006","5064","","tonnes"
"Cyprus","2004","18904","","tonnes"
"Czechia","2014","35512","","tonnes"
"Czechia","2012","36716","","tonnes"
"Czechia","2010","60288","","tonnes"
"Czechia","2008","79496","","tonnes"
"Czechia","2006","65263","","tonnes"
"Czechia","2004","150858","","tonnes"
"Denmark","2014","1195969","","tonnes"
"Denmark","2012","522988","","tonnes"
"Denmark","2010","668190","","tonnes"
"Denmark","2008","169800","","tonnes"
"Denmark","2006","163542","","tonnes"
"Denmark","2004","115162","","tonnes"
"Dominica","2002","502","","tonnes"
"Estonia","2014","8983360","","tonnes"
"Estonia","2012","7466476","","tonnes"
"Estonia","2010","7979192","","tonnes"
"Estonia","2008","6429778","","tonnes"
"Estonia","2006","6315240","","tonnes"
"Estonia","2004","6643259","","tonnes"
"Finland","2014","1551237","","tonnes"
"Finland","2012","950554","","tonnes"
"Finland","2010","877708","","tonnes"
"Finland","2008","1721934","","tonnes"
"Finland","2006","1738261","","tonnes"
"Finland","2004","1818793","","tonnes"
"France","2014","2672055","","tonnes"
"France","2012","2838870","","tonnes"
"France","2010","2729389","","tonnes"
"France","2008","2120360","","tonnes"
"France","2006","1769040","","tonnes"
"France","2004","1707000","","tonnes"
"French Guiana","2013","71","","tonnes"
"Georgia","2005","0","","tonnes"
"Georgia","2004","0","","tonnes"
"Georgia","1990","0","","tonnes"
"Germany","2014","4649719","","tonnes"
"Germany","2012","4863231","","tonnes"
"Germany","2010","3983980","","tonnes"
"Germany","2008","5215311","","tonnes"
"Germany","2006","4826070","","tonnes"
"Germany","2004","5570009","","tonnes"
"Greece","2014","19303","","tonnes"
"Greece","2012","16997","","tonnes"
"Greece","2010","11910","","tonnes"
"Greece","2008","15748","","tonnes"
"Greece","2006","33118","","tonnes"
"Greece","2004","143971","","tonnes"
"Guadeloupe","2013","151","","tonnes"
"Guadeloupe","2008","7748","8","tonnes"
"Guadeloupe","2007","3000","8","tonnes"
"Guatemala","2012","4","9","tonnes"
"Guatemala","2011","4","9","tonnes"
"Guatemala","2010","3","9","tonnes"
"Hungary","2014","85563","","tonnes"
"Hungary","2012","155827","","tonnes"
"Hungary","2010","87068","","tonnes"
"Hungary","2008","215076","","tonnes"
"Hungary","2006","836448","","tonnes"
"Hungary","2004","81207","","tonnes"
"Iceland","2014","11456","10","tonnes"
"Iceland","2012","758","","tonnes"
"Iceland","2010","1386","","tonnes"
"Iceland","2008","129039","","tonnes"
"Iceland","2004","2000","","tonnes"
"India","2015","3821571","","tonnes"
"India","2014","3364549","","tonnes"
"India","2012","1997733","","tonnes"
"India","2011","3321147","","tonnes"
"India","2008","2728326","","tonnes"
"India","2000","5250173","","tonnes"
"Iraq","2015","16645","","tonnes"
"Iraq","2010","15096","11","tonnes"
"Ireland","2014","37741","","tonnes"
"Ireland","2012","15853","","tonnes"
"Ireland","2010","21011","","tonnes"
"Ireland","2008","12583","","tonnes"
"Ireland","2006","13790","","tonnes"
"Ireland","2004","13675","","tonnes"
"Italy","2014","1268619","","tonnes"
"Italy","2012","1063650","","tonnes"
