unit,hazard,nace_r2,waste,geo\time	2004 	2006 	2008 	2010 	2012 	2014 	2016 
T,HAZ_NHAZ,TOTAL_HH,TOTAL,AT	53020950 	54286603 	56308766 	46799579 	48045089 	55868298 	61225037 
T,HAZ_NHAZ,TOTAL_HH,TOTAL,BA	: 	: 	: 	: 	4456556 	: 	: 
T,HAZ_NHAZ,TOTAL_HH,TOTAL,BE	52809345 	59351721 e	48621916 	61345803 	53839470 	57965392 	63152384 
T,HAZ_NHAZ,TOTAL_HH,TOTAL,BG	201020467 	162881368 	167646316 	167396268 	161252166 	179677011 	120508475 
T,HAZ_NHAZ,TOTAL_HH,TOTAL,CY	2241520 	1248723 	1842781 	2371203 	1870769 	1974160 	2462503 
T,HAZ_NHAZ,TOTAL_HH,TOTAL,CZ	29275743 	24745752 	25419695 	23757566 	23171358 	23394956 	25381426 
T,HAZ_NHAZ,TOTAL_HH,TOTAL,DE	364021937 	363786069 	372796355 	363544995 	368022172 	387504241 	400071672 
T,HAZ_NHAZ,TOTAL_HH,TOTAL,DK	12588952 	14703138 	15155208 	16217736 	16713822 	20808843 	20981931 
T,HAZ_NHAZ,TOTAL_HH,TOTAL,EE	20860680 	18932903 	19583855 	19000195 	21992343 	21804040 	24277879 
T,HAZ_NHAZ,TOTAL_HH,TOTAL,EL	33346962 	51324662 	68643963 	70432705 	72328280 	69758868 	72358026 
T,HAZ_NHAZ,TOTAL_HH,TOTAL,ES	160668134 	160946629 	149254157 	137518902 	118561669 	110518494 	128958523 
T,HAZ_NHAZ,TOTAL_HH,TOTAL,EU27_2020	2248790000 	2276120000 	2144780000 	2212900000 	2242580000 	2243770000 	2260520000 
T,HAZ_NHAZ,TOTAL_HH,TOTAL,EU28	2547590000 	2567270000 	2427000000 	2454720000 	2484270000 	2507090000 	2537770000 
T,HAZ_NHAZ,TOTAL_HH,TOTAL,FI	69708476 	72205476 	81792854 	104336944 	91824193 	95969888 	122869183 
T,HAZ_NHAZ,TOTAL_HH,TOTAL,FR	296580889 s	312297824 s	345002210 	355081245 	344731922 	324462969 	323474270 
