"Country or Area","Year","Value","Value Footnotes","Unit"
"Algeria","2007","325100","","tonnes"
"Algeria","2003","325000","","tonnes"
"Algeria","1997","185000","","tonnes"
"Algeria","1995","185000","","tonnes"
"Andorra","2015","1788","1","tonnes"
"Andorra","2014","2081","","tonnes"
"Andorra","2013","976","","tonnes"
"Armenia","2015","555075","","tonnes"
"Armenia","2014","576419.375","","tonnes"
"Armenia","2013","579049.8125","","tonnes"
"Armenia","2012","470505.6875","","tonnes"
"Armenia","2011","462895.8125","2","tonnes"
"Armenia","2010","435397.78125","","tonnes"
"Armenia","2009","441023.5625","","tonnes"
"Armenia","2008","437258.53125","","tonnes"
"Armenia","2007","362275","","tonnes"
"Armenia","2006","352279","","tonnes"
"Armenia","2005","346325","","tonnes"
"Armenia","2004","351400","","tonnes"
"Armenia","2003","344095","","tonnes"
"Armenia","2002","377900","","tonnes"
"Armenia","2001","375500","","tonnes"
"Armenia","2000","381578","","tonnes"
"Armenia","1999","241596","","tonnes"
"Armenia","1998","286607","","tonnes"
"Austria","2014","1272288","","tonnes"
"Austria","2012","1065888","","tonnes"
"Austria","2010","1472864","","tonnes"
"Austria","2008","1329984","","tonnes"
"Austria","2006","961899","","tonnes"
"Austria","2004","1013727","","tonnes"
"Azerbaijan","2015","262556.5","","tonnes"
"Azerbaijan","2014","456625.09375","","tonnes"
"Azerbaijan","2013","202882","","tonnes"
"Azerbaijan","2012","296979.40625","","tonnes"
"Azerbaijan","2011","185676","","tonnes"
"Azerbaijan","2010","139971","","tonnes"
"Azerbaijan","2009","131839","","tonnes"
"Azerbaijan","2008","24276","","tonnes"
"Azerbaijan","2007","10471","","tonnes"
"Azerbaijan","2006","29573","","tonnes"
"Azerbaijan","2005","12831","","tonnes"
"Azerbaijan","2004","11183","","tonnes"
"Azerbaijan","2003","26861","","tonnes"
"Azerbaijan","2002","9777","","tonnes"
"Azerbaijan","2001","16437","","tonnes"
"Azerbaijan","2000","26556","","tonnes"
"Azerbaijan","1999","13030","","tonnes"
"Azerbaijan","1998","33922","","tonnes"
"Azerbaijan","1997","36097","","tonnes"
"Azerbaijan","1996","18024","","tonnes"
"Azerbaijan","1995","26998","","tonnes"
"Bahrain","2007","35008","3","tonnes"
"Bahrain","2006","38740","3","tonnes"
"Bahrain","2005","38202","3","tonnes"
"Bahrain","2004","33005","3","tonnes"
"Bahrain","2003","33616","3","tonnes"
"Bahrain","2002","140000","3","tonnes"
"Bahrain","2001","140000","3","tonnes"
"Bahrain","2000","140000","3","tonnes"
"Bahrain","1999","140000","3","tonnes"
"Bahrain","1998","140000","3","tonnes"
"Bahrain","1997","140000","3","tonnes"
"Bahrain","1996","138870","3","tonnes"
"Bahrain","1995","136000","3","tonnes"
"Bangladesh","2012","28946","","tonnes"
"Bangladesh","2007","19920","","tonnes"
"Belarus","2015","1207797.75","4","tonnes"
"Belarus","2014","1723974.75","4","tonnes"
"Belarus","2013","1415421.625","4","tonnes"
"Belarus","2012","1322792.125","4","tonnes"
