wst_oper,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
RCY,PC,AT	50.5 	62.1 	63.5 	64.4 	63.5 	63.4 	64.3 e	62.5 e	64.2 e	57.4 	58.3 e	59.2 	60.2 	63.2 	61.9 	59.4 	56.7 	57.7 	57.7 	56.3 	56.9 	57.6 	57.7 	57.7 
RCY,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
RCY,PC,BE	19.1 	25.2 	34.4 	41.9 	46.1 	49.7 	50.4 	51.5 	52.9 	53.5 	55.6 	56.2 	56.8 	52.7 	53.9 	54.8 	54.4 	53.4 	52.8 	53.8 	53.5 	53.5 	53.9 	54.6 
RCY,PC,BG	0.0 	0.0 	0.0 	15.9 e	15.7 e	15.5 e	16.1 e	16.3 e	16.5 e	17.2 e	18.3 e	19.1 e	20.6 e	19.4 e	19.9 e	24.5 	26.2 	25.0 	28.5 	23.1 	29.4 	31.8 	34.6 	31.5 
RCY,PC,CH	38.7 	41.2 	42.5 	43.7 	42.9 	45.3 	46.6 	46.7 	47.5 	48.7 	50.6 	50.1 	51.0 	49.9 	51.3 	50.5 	50.1 	50.0 e	51.0 e	53.5 e	52.7 e	52.5 e	52.5 e	52.5 e
RCY,PC,CY	0.0 	2.8 	3.2 	2.9 	3.1 	3.0 	3.1 	3.2 	3.1 	3.2 	3.7 	4.2 	5.2 	7.3 	8.3 	10.7 	12.6 	13.6 	14.6 	16.8 	17.9 	17.2 e	16.1 e	: 
RCY,PC,CZ	0.0 	0.0 	0.0 	0.6 	0.9 	0.9 	0.9 	0.9 	0.9 	5.5 e	6.2 e	7.4 e	10.1 e	10.4 e	12.4 e	15.8 e	17.0 e	23.2 e	24.2 e	25.4 e	29.7 e	33.6 e	34.1 e	34.5 e
RCY,PC,DE	39.4 s	42.2 s	44.1 s	45.6 s	51.1 s	52.5 s	52.3 s	56.1 	57.8 	56.4 	60.9 	62.1 	63.2 	63.8 	63.1 	62.5 	63.0 	65.2 	63.8 	65.6 	66.7 	67.1 	67.2 	67.3 e
RCY,PC,DK	25.2 e	37.0 	35.4 	36.0 	38.9 	37.1 	36.1 	37.6 	40.9 	41.0 	41.0 	41.8 	44.2 	47.9 	48.8 e	: 	42.4 	42.5 	43.3 	45.4 	47.4 	48.3 	47.6 	49.9 
RCY,PC,EE	0.6 	0.2 	0.2 	0.2 	0.0 	2.4 	5.1 	2.7 	15.0 	24.8 	22.5 	17.4 	23.1 	20.2 	21.0 	18.2 	23.3 	19.1 	17.9 	31.3 	28.3 	28.1 	28.4 	28.0 
RCY,PC,EL	: 	: 	9.2 	8.9 	8.9 	8.8 	8.8 	8.8 	8.1 	10.1 	11.8 	12.8 	20.1 	17.7 	18.9 	17.1 	17.8 	17.0 	15.8 	15.4 	15.8 	17.2 	18.9 	: 
RCY,PC,ES	7.0 	7.8 	8.4 	9.2 	14.2 	18.4 	21.4 	29.3 	28.7 	30.9 	31.4 	31.2 	30.6 	39.7 	33.2 	29.2 	26.7 	29.8 	32.5 	30.8 	30.0 	33.9 	36.1 	36.0 e
RCY,PC,EU27_2007	: 	: 	: 	: 	: 	25.3 s	26.5 s	28.4 s	29.4 s	30.7 s	31.9 s	33.0 s	35.2 s	36.8 s	37.7 s	38.5 s	39.4 s	41.2 s	41.9 s	43.5 s	44.8 s	46.2 s	46.7 s	47.2 s
RCY,PC,EU27_2020	18.8 s	20.9 s	22.5 s	24.0 s	26.0 s	27.3 s	28.7 s	30.4 s	31.1 s	31.8 s	32.5 s	33.2 s	35.2 s	36.5 s	37.3 s	38.0 s	38.9 s	40.9 s	41.5 s	43.4 s	44.9 s	46.3 s	46.9 s	47.5 s
RCY,PC,EU28	17.3 s	19.0 s	20.5 s	22.0 s	23.9 s	25.2 s	26.4 s	28.2 s	29.3 s	30.5 s	31.7 s	32.8 s	35.0 s	36.5 s	37.4 s	38.3 s	39.3 s	41.1 s	41.7 s	43.4 s	44.7 s	46.0 s	46.5 s	47.1 s
RCY,PC,FI	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	33.6 	35.6 	34.3 	35.9 	32.8 	34.8 	33.3 	32.5 	32.5 	40.6 	42.0 	40.5 	42.3 
RCY,PC,FR	17.7 	18.7 	20.0 	21.8 	22.9 	24.5 	26.1 	27.3 	28.0 	29.0 	29.0 	30.7 e	32.3 	33.8 e	35.3 	36.0 e	36.8 	37.7 e	38.7 	39.7 e	40.7 	41.9 e	43.0 	44.0 e
RCY,PC,HR	: 	: 	0.0 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.1 	2.8 	2.3 	4.0 	8.3 	14.7 	14.9 	16.5 	18.0 	21.0 	23.6 	25.3 
RCY,PC,HU	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	2.5 	3.5 	11.8 	9.6 	10.4 	12.1 	15.2 	15.4 	19.6 	22.0 	25.5 	26.4 	30.5 	32.2 	34.7 	35.0 	37.4 
RCY,PC,IE	: 	: 	: 	8.1 	: 	11.9 	11.3 	18.3 	23.6 	29.5 	31.1 	33.1 	34.1 	33.6 	33.5 	35.7 	36.1 	36.6 	: 	39.8 	: 	40.7 	40.4 	: 
RCY,PC,IS	7.9 	9.4 	8.3 	10.6 	12.7 	15.4 	15.8 	16.1 	16.4 	: 	: 	: 	: 	19.2 	20.5 	20.8 	25.3 	28.0 	29.9 	29.7 	28.2 	33.2 	25.8 	: 
RCY,PC,IT	4.8 	6.4 	9.3 	11.0 	12.1 	14.2 	17.8 	14.8 	16.3 	17.6 	18.5 	19.2 	25.0 	23.8 	29.7 	31.0 	35.5 	38.4 	39.4 	41.6 	44.3 	45.9 	47.8 	49.8 
