unit,hazard,nace_r2,waste,geo\time	2004 	2006 	2008 	2010 	2012 	2014 	2016 
T,HAZ_NHAZ,A,TOTAL,AT	468629 	512872 	459096 	550439 	179044 	128124 	129834 
T,HAZ_NHAZ,A,TOTAL,BA	: 	: 	: 	: 	0 	: 	: 
T,HAZ_NHAZ,A,TOTAL,BE	1186648 	361827 	287656 	225622 	165463 	311835 	269190 
T,HAZ_NHAZ,A,TOTAL,BG	722228 	632966 	754286 	618107 	903119 	835401 	617689 
T,HAZ_NHAZ,A,TOTAL,CY	378416 	131541 	126651 	129184 	18203 	19856 	19453 
T,HAZ_NHAZ,A,TOTAL,CZ	1244149 	315585 	254546 	113683 	196063 	135313 	114575 
T,HAZ_NHAZ,A,TOTAL,DE	1226989 	1515272 	1350758 	256272 	648869 	438829 	1126134 
T,HAZ_NHAZ,A,TOTAL,DK	24038 	27550 	40731 	189101 	75225 	117682 	201648 
T,HAZ_NHAZ,A,TOTAL,EE	183860 	118829 	240005 	109873 	77404 	121677 	113946 
T,HAZ_NHAZ,A,TOTAL,EL	4711294 	4711294 	0 	5073 	9979 	10976 	255170 
T,HAZ_NHAZ,A,TOTAL,ES	17986083 	15152405 	11355660 	5816630 	5496458 	5817439 	6271464 
T,HAZ_NHAZ,A,TOTAL,EU27_2020	63350000 	57030000 	45850000 	20540000 	20770000 	18090000 	20340000 
T,HAZ_NHAZ,A,TOTAL,EU28	64070000 	57700000 	46530000 	21000000 	21380000 	18710000 	20910000 
T,HAZ_NHAZ,A,TOTAL,FI	1537025 	2038408 	2738973 	2772031 	3157813 	4471 	0 
T,HAZ_NHAZ,A,TOTAL,FR	1221940 	1221940 	1312890 	1371625 	1290136 	1274216 	1315214 
T,HAZ_NHAZ,A,TOTAL,HR	121133 	72167 	18679 	14223 	75096 	269111 	496153 
T,HAZ_NHAZ,A,TOTAL,HU	3999629 	1997533 	336865 	487655 	460047 	520961 	484320 
T,HAZ_NHAZ,A,TOTAL,IE	8706 	0 	19376 	101143 	96251 	96251 	105033 
T,HAZ_NHAZ,A,TOTAL,IS	78559 	: 	: 	72071 	82097 	28885 	38357 
T,HAZ_NHAZ,A,TOTAL,IT	615288 	558481 	349096 	310912 	407979 	323518 	320928 
T,HAZ_NHAZ,A,TOTAL,LI	: 	: 	615 	306 	0 	0 	22 
T,HAZ_NHAZ,A,TOTAL,LT	874218 	874219 	786069 	455856 	481708 	421071 	252305 
T,HAZ_NHAZ,A,TOTAL,LU	11324 	11324 	2486 	2547 	1381 	3094 	30986 
T,HAZ_NHAZ,A,TOTAL,LV	208465 	96126 	74660 	68024 	2767 	36209 	362303 
T,HAZ_NHAZ,A,TOTAL,ME	: 	: 	: 	: 	0 	10661 	33290 
T,HAZ_NHAZ,A,TOTAL,MK	: 	: 	0 	0 	23 	84366 	40 
T,HAZ_NHAZ,A,TOTAL,MT	36 	7 	2667 	2888 	2709 	3018 	10563 
T,HAZ_NHAZ,A,TOTAL,NL	2392596 	2659520 	3468475 	4682517 	4618778 	4769683 	5085249 
T,HAZ_NHAZ,A,TOTAL,NO	148558 	172417 	184332 	195252 	150002 	192189 	161946 
T,HAZ_NHAZ,A,TOTAL,PL	1522976 	1522976 	1350163 	603472 	884425 	492106 	534931 
T,HAZ_NHAZ,A,TOTAL,PT	694144 	213722 	74760 	68829 	63215 	50294 	55520 
T,HAZ_NHAZ,A,TOTAL,RO	21019098 	21019098 	19204236 	608062 	470756 	559573 	507712 
T,HAZ_NHAZ,A,TOTAL,RS	: 	: 	: 	0 	0 	0 	101675 
T,HAZ_NHAZ,A,TOTAL,SE	314317 	314317 	314314 	308946 	273071 	655374 	804382 
T,HAZ_NHAZ,A,TOTAL,SI	76497 	214335 	132159 	141285 	164761 	102716 	63248 
T,HAZ_NHAZ,A,TOTAL,SK	605600 	741965 	788788 	525604 	549391 	574396 	788559 
T,HAZ_NHAZ,A,TOTAL,TR	0 	0 	0 	: 	: 	: 	: 
T,HAZ_NHAZ,A,TOTAL,UK	719198 	666485 	681314 	464297 	610133 	612429 	576195 
T,HAZ_NHAZ,A,TOTAL,XK	: 	: 	: 	: 	0 	0 	0 
T,HAZ_NHAZ,B,TOTAL,AT	621924 	1042516 	677937 	269151 	51339 	43232 	39305 
T,HAZ_NHAZ,B,TOTAL,BA	: 	: 	: 	: 	72364 	: 	: 
T,HAZ_NHAZ,B,TOTAL,BE	384179 e	159059 e	503487 	1701199 	81147 	65728 	37301 
T,HAZ_NHAZ,B,TOTAL,BG	171193249 	145731176 	149112027 	150214030 	141082596 	159280382 	98716372 
T,HAZ_NHAZ,B,TOTAL,CY	119472 	27882 	504686 	381794 	217888 	155399 	131244 
T,HAZ_NHAZ,B,TOTAL,CZ	707898 	471508 	166949 	114572 	167422 	233797 	143877 
T,HAZ_NHAZ,B,TOTAL,DE	55879699 	47222200 	28287600 	24493073 	8625187 	7431893 	7265142 
T,HAZ_NHAZ,B,TOTAL,DK	2067 	2061 	2430 	21653 	13242 	12067 	15648 
T,HAZ_NHAZ,B,TOTAL,EE	5305587 	5960972 	7197790 	6452793 	9354964 	7904520 	6301082 
T,HAZ_NHAZ,B,TOTAL,EL	1902330 	14887758 	38151604 	44793197 	47831627 	47356920 	56717173 
T,HAZ_NHAZ,B,TOTAL,ES	21779548 	26014629 	25716298 	31732305 	22509144 	18640873 	20299473 
T,HAZ_NHAZ,B,TOTAL,EU27_2020	717630000 	574640000 	520660000 	647780000 	709910000 	678990000 	625010000 
T,HAZ_NHAZ,B,TOTAL,EU28	752770000 	606420000 	554720000 	665460000 	726930000 	696600000 	642140000 
T,HAZ_NHAZ,B,TOTAL,FI	23819060 	21500896 	31796383 	54851000 	52880000 	62775117 	93661383 
T,HAZ_NHAZ,B,TOTAL,FR	165780 	1040400 	1195220 	1053025 	2477408 	2345765 	2399748 
T,HAZ_NHAZ,B,TOTAL,HR	347370 	344503 	34225 	28855 	5034 	5315 	635771 
T,HAZ_NHAZ,B,TOTAL,HU	1640251 e	26504 e	272490 e	86587 	91218 	82576 	147534 
T,HAZ_NHAZ,B,TOTAL,IE	4049344 	4765557 e	2061293 	2195671 	2084654 	2706594 	2398489 
T,HAZ_NHAZ,B,TOTAL,IS	1100 	: 	: 	65 	55 	0 	0 
T,HAZ_NHAZ,B,TOTAL,IT	761406 	1005261 	1262823 	705765 	685665 	981739 	758732 
T,HAZ_NHAZ,B,TOTAL,LI	: 	: 	11427 	11749 	28623 	9203 	14956 
T,HAZ_NHAZ,B,TOTAL,LT	3595 	5514 	3367 	6838 	25911 	24978 	42267 
T,HAZ_NHAZ,B,TOTAL,LU	45947 	56487 	9738 	18358 	131314 	129724 	37904 
T,HAZ_NHAZ,B,TOTAL,LV	80 	0 	2585 	786 	1968 	5288 	1001 
T,HAZ_NHAZ,B,TOTAL,ME	: 	: 	: 	: 	879 	262393 	323154 
T,HAZ_NHAZ,B,TOTAL,MK	: 	: 	: 	854854 	802124 	74589 	700548 
T,HAZ_NHAZ,B,TOTAL,MT	168 	0 	0 	56569 	40708 	36226 	151276 
T,HAZ_NHAZ,B,TOTAL,NL	294882 	216408 	269042 	184387 	179140 	131537 	62231 
T,HAZ_NHAZ,B,TOTAL,NO	116222 	125146 	113389 	365756 	470295 	333977 	333720 
T,HAZ_NHAZ,B,TOTAL,PL	38297927 	38671255 	33665850 	61547018 	68035432 	75736488 	70667483 
T,HAZ_NHAZ,B,TOTAL,PT	4761297 e	3563416 e	182657 	264140 	238382 	921523 	408888 
T,HAZ_NHAZ,B,TOTAL,RO	326606132 	199126793 	140677024 	177404235 	223292741 	152783566 	153917821 
T,HAZ_NHAZ,B,TOTAL,RS	: 	: 	: 	26460274 	47896363 	41504862 	38671285 
T,HAZ_NHAZ,B,TOTAL,SE	58599638 	62084293 	58701928 	89026207 	129480919 	138898168 	109720077 
T,HAZ_NHAZ,B,TOTAL,SI	128702 	376930 	54519 	11797 	14448 	7675 	12786 
T,HAZ_NHAZ,B,TOTAL,SK	210680 	331864 	150860 	165584 	310580 	289110 	316625 
T,HAZ_NHAZ,B,TOTAL,TR	: 	: 	0 	3909086 	4744868 	3114475 	8530860 
T,HAZ_NHAZ,B,TOTAL,UK	35137940 	31782794 	34057625 	17683251 	17017628 	17611777 	17136644 
T,HAZ_NHAZ,B,TOTAL,XK	: 	: 	: 	: 	177185 	201246 	397689 
