iso3c	country	description	value	units	year	source
ABW	Aruba	MSW	0.0881320167	Million tonnes per year	2013	World Bank
ABW	Aruba	MSW per person	855.6506475728154	Kg per person per year	2013	World Bank
AFG	Afghanistan	MSW	5.62852537	Million tonnes per year	2016	World Bank
AFG	Afghanistan	MSW per person	159.07428341293843	Kg per person per year	2016	World Bank
AGO	Angola	MSW	4.213643585	Million tonnes per year	2012	World Bank
AGO	Angola	MSW per person	167.820757726621	Kg per person per year	2012	World Bank
ALB	Albania	MSW	1.142964	Million tonnes per year	2015	World Bank
ALB	Albania	MSW per person	395.3524731926669	Kg per person per year	2015	World Bank
AND	Andorra	MSW	0.043	Million tonnes per year	2012	World Bank
AND	Andorra	MSW per person	524.390243902439	Kg per person per year	2012	World Bank
ARE	United Arab Emirates	MSW	5.413453408	Million tonnes per year	2016	World Bank
ARE	United Arab Emirates	MSW per person	578.2986227967098	Kg per person per year	2016	World Bank
ARG	Argentina	MSW	17.91055	Million tonnes per year	2014	World Bank
ARG	Argentina	MSW per person	420.0607439373329	Kg per person per year	2014	World Bank
ARM	Armenia	MSW	0.4928	Million tonnes per year	2014	World Bank
ARM	Armenia	MSW per person	169.23076923076923	Kg per person per year	2014	World Bank
ASM	American Samoa	MSW	0.01898949	Million tonnes per year	2016	World Bank
ASM	American Samoa	MSW per person	339.0980357142857	Kg per person per year	2016	World Bank
ATG	Antigua and Barbuda	MSW	0.030585	Million tonnes per year	2012	World Bank
ATG	Antigua and Barbuda	MSW per person	339.8333333333333	Kg per person per year	2012	World Bank
AUS	Australia	MSW	13.345	Million tonnes per year	2015	World Bank
AUS	Australia	MSW per person	557.6215945178004	Kg per person per year	2015	World Bank
AUT	Austria	MSW	4.836	Million tonnes per year	2015	World Bank
AUT	Austria	MSW per person	557.2070515036295	Kg per person per year	2015	World Bank
AZE	Azerbaijan	MSW	2.930349	Million tonnes per year	2015	World Bank
AZE	Azerbaijan	MSW per person	304.51512002494025	Kg per person per year	2015	World Bank
BDI	Burundi	MSW	1.872016	Million tonnes per year	2002	World Bank
BDI	Burundi	MSW per person	279.2386634844869	Kg per person per year	2002	World Bank
BEL	Belgium	MSW	4.708	Million tonnes per year	2015	World Bank
BEL	Belgium	MSW per person	417.08008504606664	Kg per person per year	2015	World Bank
BEN	Benin	MSW	0.68593601	Million tonnes per year	1993	World Bank
BEN	Benin	MSW per person	124.21876312930098	Kg per person per year	1993	World Bank
BFA	Burkina Faso	MSW	2.57525111	Million tonnes per year	2015	World Bank
BFA	Burkina Faso	MSW per person	142.19265142730936	Kg per person per year	2015	World Bank
BGD	Bangladesh	MSW	14.77849733	Million tonnes per year	2012	World Bank
BGD	Bangladesh	MSW per person	97.8669544918745	Kg per person per year	2012	World Bank
BGR	Bulgaria	MSW	3.011	Million tonnes per year	2015	World Bank
BGR	Bulgaria	MSW per person	418.19444444444446	Kg per person per year	2015	World Bank
BHR	Bahrain	MSW	0.95194296945	Million tonnes per year	2016	World Bank
BHR	Bahrain	MSW per person	667.5616896563814	Kg per person per year	2016	World Bank
BHS	Bahamas	MSW	0.264	Million tonnes per year	2015	World Bank
BHS	Bahamas	MSW per person	705.8823529411765	Kg per person per year	2015	World Bank
BIH	Bosnia and Herzegovina	MSW	1.248718	Million tonnes per year	2015	World Bank
BIH	Bosnia and Herzegovina	MSW per person	364.1638961796442	Kg per person per year	2015	World Bank
BLR	Belarus	MSW	4.28	Million tonnes per year	2015	World Bank
BLR	Belarus	MSW per person	453.4378641805276	Kg per person per year	2015	World Bank
BLZ	Belize	MSW	0.10137883030000001	Million tonnes per year	2015	World Bank
BLZ	Belize	MSW per person	280.82778476454297	Kg per person per year	2015	World Bank
BMU	Bermuda	MSW	0.082	Million tonnes per year	2012	World Bank
BMU	Bermuda	MSW per person	1261.5384615384614	Kg per person per year	2012	World Bank
BOL	Bolivia (Plurinational State of)	MSW	2.219052	Million tonnes per year	2015	World Bank
BOL	Bolivia (Plurinational State of)	MSW per person	204.14461821527138	Kg per person per year	2015	World Bank
BRA	Brazil	MSW	79.88901	Million tonnes per year	2015	World Bank
BRA	Brazil	MSW per person	390.70880120505495	Kg per person per year	2015	World Bank
BRB	Barbados	MSW	0.17481544444444447	Million tonnes per year	2011	World Bank
BRB	Barbados	MSW per person	617.722418531606	Kg per person per year	2011	World Bank
BRN	Brunei Darussalam	MSW	0.216253156	Million tonnes per year	2016	World Bank
BRN	Brunei Darussalam	MSW per person	514.8884666666667	Kg per person per year	2016	World Bank
BTN	Bhutan	MSW	0.11131405	Million tonnes per year	2007	World Bank
BTN	Bhutan	MSW per person	167.38954887218046	Kg per person per year	2007	World Bank
BWA	Botswana	MSW	0.210854442618916	Million tonnes per year	2010	World Bank
BWA	Botswana	MSW per person	106.1169816904459	Kg per person per year	2010	World Bank
CAF	Central African Republic	MSW	1.105983	Million tonnes per year	2014	World Bank
CAF	Central African Republic	MSW per person	247.75604838709677	Kg per person per year	2014	World Bank
CAN	Canada	MSW	25.103034	Million tonnes per year	2014	World Bank
CAN	Canada	MSW per person	703.8760094212652	Kg per person per year	2014	World Bank
CHE	Switzerland	MSW	6.056	Million tonnes per year	2016	World Bank
CHE	Switzerland	MSW per person	722.6730310262529	Kg per person per year	2016	World Bank
CHI	Channel Islands	MSW	0.178933	Million tonnes per year	2016	World Bank
CHI	Channel Islands	MSW per person	1071.4550898203593	Kg per person per year	2016	World Bank
CHL	Chile	MSW	6.517	Million tonnes per year	2009	World Bank
CHL	Chile	MSW per person	385.9410162264598	Kg per person per year	2009	World Bank
CHN	China	MSW	210.0	Million tonnes per year	2015	World Bank
CHN	China	MSW per person	149.2698571558548	Kg per person per year	2015	World Bank
